id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore,season
40152036316,401520363,Arkansas,SEC,Florida,SEC,16,True,3,80,80,"{'minutes': 12, 'seconds': 49}",3,23,23,"{'minutes': 10, 'seconds': 34}","{'minutes': 2, 'seconds': 15}",7,57,FG,False,17,17,20,17,2023
40152036317,401520363,Florida,SEC,Arkansas,SEC,17,False,3,25,75,"{'minutes': 10, 'seconds': 34}",3,23,77,"{'minutes': 8, 'seconds': 57}","{'minutes': 1, 'seconds': 37}",3,-2,PUNT,True,17,20,17,20,2023
40152036318,401520363,Arkansas,SEC,Florida,SEC,18,False,3,46,46,"{'minutes': 8, 'seconds': 57}",3,32,32,"{'minutes': 6, 'seconds': 35}","{'minutes': 2, 'seconds': 22}",8,14,MISSED FG,False,20,17,20,17,2023
40152036319,401520363,Florida,SEC,Arkansas,SEC,19,False,3,32,68,"{'minutes': 6, 'seconds': 35}",3,45,55,"{'minutes': 3, 'seconds': 23}","{'minutes': 3, 'seconds': 12}",5,13,PUNT,True,17,20,17,20,2023
40152036320,401520363,Arkansas,SEC,Florida,SEC,20,False,3,90,90,"{'minutes': 3, 'seconds': 23}",3,68,68,"{'minutes': 1, 'seconds': 46}","{'minutes': 1, 'seconds': 37}",4,22,FUMBLE,False,20,17,20,17,2023
40152036321,401520363,Florida,SEC,Arkansas,SEC,21,True,3,68,32,"{'minutes': 1, 'seconds': 46}",3,100,0,"{'minutes': 1, 'seconds': 38}","{'minutes': 0, 'seconds': 8}",1,32,TD,True,23,20,23,20,2023
40152036322,401520363,Arkansas,SEC,Florida,SEC,22,True,3,70,70,"{'minutes': 1, 'seconds': 30}",4,4,4,"{'minutes': 12, 'seconds': 54}","{'minutes': 3, 'seconds': 36}",10,66,FG,False,20,23,23,23,2023
40152036323,401520363,Florida,SEC,Arkansas,SEC,23,True,4,25,75,"{'minutes': 12, 'seconds': 54}",4,84,16,"{'minutes': 7, 'seconds': 58}","{'minutes': 4, 'seconds': 56}",12,59,FG,True,23,23,26,23,2023
40152036324,401520363,Arkansas,SEC,Florida,SEC,24,True,4,84,84,"{'minutes': 7, 'seconds': 53}",4,0,0,"{'minutes': 4, 'seconds': 26}","{'minutes': 3, 'seconds': 27}",10,84,TD,False,23,26,30,26,2023
40152036325,401520363,Florida,SEC,Arkansas,SEC,25,True,4,28,72,"{'minutes': 4, 'seconds': 19}",4,100,0,"{'minutes': 3, 'seconds': 2}","{'minutes': 1, 'seconds': 17}",3,72,TD,True,26,30,33,30,2023
40152036326,401520363,Arkansas,SEC,Florida,SEC,26,True,4,75,75,"{'minutes': 3, 'seconds': 2}",4,31,31,"{'minutes': 0, 'seconds': 44}","{'minutes': 2, 'seconds': 18}",8,44,FG,False,30,33,33,33,2023
40152036327,401520363,Florida,SEC,Arkansas,SEC,27,False,4,25,75,"{'minutes': 0, 'seconds': 44}",4,74,26,"{'minutes': 0, 'seconds': 3}","{'minutes': 0, 'seconds': 41}",6,49,MISSED FG,True,33,33,33,33,2023
40152036328,401520363,Arkansas,SEC,Florida,SEC,28,False,4,74,74,"{'minutes': 0, 'seconds': 3}",4,75,75,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 3}",1,-1,END OF GAME,False,33,33,33,33,2023
40152036329,401520363,Florida,SEC,Arkansas,SEC,29,True,5,75,25,"{'minutes': 0, 'seconds': 0}",5,79,21,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 0}",4,4,FG,True,33,33,36,33,2023
40152036330,401520363,Arkansas,SEC,Florida,SEC,30,True,5,25,25,"{'minutes': 0, 'seconds': 0}",5,0,0,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 0}",3,25,TD,False,33,36,39,36,2023
4015203891,401520389,LSU,SEC,Florida,SEC,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 11, 'seconds': 59}","{'minutes': 3, 'seconds': 1}",7,75,TD,True,0,0,7,0,2023
4015203892,401520389,Florida,SEC,LSU,SEC,2,True,1,75,75,"{'minutes': 11, 'seconds': 59}",1,0,0,"{'minutes': 8, 'seconds': 58}","{'minutes': 3, 'seconds': 1}",8,75,TD,False,0,7,7,7,2023
4015203893,401520389,LSU,SEC,Florida,SEC,3,False,1,25,75,"{'minutes': 8, 'seconds': 58}",1,99,1,"{'minutes': 4, 'seconds': 28}","{'minutes': 4, 'seconds': 30}",11,74,DOWNS,True,7,7,7,7,2023
4015203894,401520389,Florida,SEC,LSU,SEC,4,False,1,99,99,"{'minutes': 4, 'seconds': 28}",1,58,58,"{'minutes': 2, 'seconds': 5}","{'minutes': 2, 'seconds': 23}",6,41,FUMBLE,False,7,7,7,7,2023
4015203895,401520389,LSU,SEC,Florida,SEC,5,False,1,58,42,"{'minutes': 2, 'seconds': 5}",1,59,41,"{'minutes': 0, 'seconds': 53}","{'minutes': 1, 'seconds': 12}",4,1,DOWNS,True,7,7,7,7,2023
4015203896,401520389,Florida,SEC,LSU,SEC,6,False,1,59,59,"{'minutes': 0, 'seconds': 53}",2,56,56,"{'minutes': 14, 'seconds': 38}","{'minutes': 1, 'seconds': 15}",3,3,PUNT,False,7,7,7,7,2023
4015203897,401520389,LSU,SEC,Florida,SEC,7,True,2,10,90,"{'minutes': 14, 'seconds': 38}",2,89,11,"{'minutes': 11, 'seconds': 52}","{'minutes': 2, 'seconds': 46}",7,79,FG,True,7,7,10,7,2023
4015203898,401520389,Florida,SEC,LSU,SEC,8,False,2,65,65,"{'minutes': 11, 'seconds': 52}",2,58,58,"{'minutes': 8, 'seconds': 34}","{'minutes': 3, 'seconds': 18}",6,7,PUNT,False,7,10,7,10,2023
4015203899,401520389,LSU,SEC,Florida,SEC,9,True,2,15,85,"{'minutes': 8, 'seconds': 34}",2,100,0,"{'minutes': 8, 'seconds': 21}","{'minutes': 0, 'seconds': 13}",1,85,TD,True,17,7,17,7,2023
40152038910,401520389,Florida,SEC,LSU,SEC,10,True,2,75,75,"{'minutes': 8, 'seconds': 21}",2,0,0,"{'minutes': 4, 'seconds': 30}","{'minutes': 3, 'seconds': 51}",8,75,TD,False,7,17,14,17,2023
40152038911,401520389,LSU,SEC,Florida,SEC,11,False,2,25,75,"{'minutes': 4, 'seconds': 30}",2,53,47,"{'minutes': 2, 'seconds': 11}","{'minutes': 2, 'seconds': 19}",6,28,PUNT,True,17,14,17,14,2023
40152038912,401520389,Florida,SEC,LSU,SEC,12,False,2,90,90,"{'minutes': 2, 'seconds': 11}",2,82,82,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 11}",3,8,END OF HALF,False,14,17,14,17,2023
