season,team,conference,statName,statValue
2022,Florida,SEC,fourthDowns,32
2022,Florida,SEC,fourthDownsOpponent,23
2022,Florida,SEC,fumblesLost,5
2022,Florida,SEC,fumblesLostOpponent,13
2022,Florida,SEC,fumblesRecovered,17
2022,Florida,SEC,fumblesRecoveredOpponent,8
2022,Florida,SEC,games,13
2022,Florida,SEC,interceptions,9
2022,Florida,SEC,interceptionsOpponent,9
2022,Florida,SEC,interceptionTDs,2
2022,Florida,SEC,interceptionTDsOpponent,1
2022,Florida,SEC,interceptionYards,93
2022,Florida,SEC,interceptionYardsOpponent,125
2022,Florida,SEC,kickReturns,27
2022,Florida,SEC,kickReturnsOpponent,21
2022,Florida,SEC,kickReturnTDs,0
2022,Florida,SEC,kickReturnTDsOpponent,0
2022,Florida,SEC,kickReturnYards,586
2022,Florida,SEC,kickReturnYardsOpponent,449
2022,Florida,SEC,netPassingYards,2910
2022,Florida,SEC,netPassingYardsOpponent,3065
2022,Florida,SEC,passAttempts,366
2022,Florida,SEC,passAttemptsOpponent,396
2022,Florida,SEC,passCompletions,199
2022,Florida,SEC,passCompletionsOpponent,240
2022,Florida,SEC,passesIntercepted,9
2022,Florida,SEC,passesInterceptedOpponent,9
2022,Florida,SEC,passingTDs,18
2022,Florida,SEC,passingTDsOpponent,17
2022,Florida,SEC,penalties,89
2022,Florida,SEC,penaltiesOpponent,73
2022,Florida,SEC,penaltyYards,651
2022,Florida,SEC,penaltyYardsOpponent,577
2022,Florida,SEC,possessionTime,22655
2022,Florida,SEC,possessionTimeOpponent,24113
2022,Florida,SEC,puntReturns,18
2022,Florida,SEC,puntReturnsOpponent,12
2022,Florida,SEC,puntReturnTDs,0
2022,Florida,SEC,puntReturnTDsOpponent,0
2022,Florida,SEC,puntReturnYards,130
2022,Florida,SEC,puntReturnYardsOpponent,96
2022,Florida,SEC,rushingAttempts,472
2022,Florida,SEC,rushingAttemptsOpponent,506
2022,Florida,SEC,rushingTDs,29
2022,Florida,SEC,rushingTDsOpponent,29
2022,Florida,SEC,rushingYards,2603
2022,Florida,SEC,rushingYardsOpponent,2278
2022,Florida,SEC,sacks,23
2022,Florida,SEC,sacksOpponent,17
2022,Florida,SEC,tacklesForLoss,70
2022,Florida,SEC,tacklesForLossOpponent,53
2022,Florida,SEC,thirdDownConversions,68
2022,Florida,SEC,thirdDownConversionsOpponent,87
2022,Florida,SEC,thirdDowns,168
2022,Florida,SEC,thirdDownsOpponent,175
2022,Florida,SEC,totalYards,5513
2022,Florida,SEC,totalYardsOpponent,5343
2022,Florida,SEC,turnovers,14
2022,Florida,SEC,turnoversOpponent,22
2022,Georgia,SEC,firstDowns,371
2022,Georgia,SEC,firstDownsOpponent,232
2022,Georgia,SEC,fourthDownConversions,13
2022,Georgia,SEC,fourthDownConversionsOpponent,12
2022,Georgia,SEC,fourthDowns,15
2022,Georgia,SEC,fourthDownsOpponent,32
2022,Georgia,SEC,fumblesLost,10
2022,Georgia,SEC,fumblesLostOpponent,7
2022,Georgia,SEC,fumblesRecovered,11
2022,Georgia,SEC,fumblesRecoveredOpponent,18
2022,Georgia,SEC,games,15
2022,Georgia,SEC,interceptions,7
2022,Georgia,SEC,interceptionsOpponent,12
2022,Georgia,SEC,interceptionTDs,0
2022,Georgia,SEC,interceptionTDsOpponent,0
2022,Georgia,SEC,interceptionYards,122
2022,Georgia,SEC,interceptionYardsOpponent,28
2022,Georgia,SEC,kickReturns,22
2022,Georgia,SEC,kickReturnsOpponent,23
2022,Georgia,SEC,kickReturnTDs,0
2022,Georgia,SEC,kickReturnTDsOpponent,0
2022,Georgia,SEC,kickReturnYards,437
2022,Georgia,SEC,kickReturnYardsOpponent,460
2022,Georgia,SEC,netPassingYards,4437
