id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore,season,result_cat,scored,empty,quick_score,explosive
40140390425,401403904,Florida,SEC,Eastern Washington,Big Sky,25,False,4,24,76,"{'minutes': 3, 'seconds': 12}",4,81,19,"{'minutes': 0, 'seconds': 0}","{'minutes': 3, 'seconds': 12}",5,57,END OF GAME,True,52,17,52,17,2022,end_of_half,False,False,False,False
4014039102,401403910,Florida,SEC,Missouri,SEC,2,False,1,20,80,"{'minutes': 9, 'seconds': 50}",1,48,52,"{'minutes': 7, 'seconds': 48}","{'minutes': 2, 'seconds': 2}",4,28,PUNT,True,0,0,0,0,2022,punt,False,True,False,False
4014039104,401403910,Florida,SEC,Missouri,SEC,4,True,1,76,24,"{'minutes': 4, 'seconds': 33}",1,80,20,"{'minutes': 2, 'seconds': 58}","{'minutes': 1, 'seconds': 35}",4,4,FG,True,0,0,3,0,2022,field_goal,True,False,False,False
4014039107,401403910,Florida,SEC,Missouri,SEC,7,False,2,35,65,"{'minutes': 13, 'seconds': 47}",2,67,33,"{'minutes': 9, 'seconds': 31}","{'minutes': 4, 'seconds': 16}",8,32,MISSED FG,True,10,0,10,0,2022,field_goal,True,False,False,False
4014039109,401403910,Florida,SEC,Missouri,SEC,9,False,2,25,75,"{'minutes': 3, 'seconds': 55}",2,32,68,"{'minutes': 2, 'seconds': 57}","{'minutes': 0, 'seconds': 58}",3,7,FUMBLE,True,10,7,10,7,2022,turnover,False,True,False,False
40140391011,401403910,Florida,SEC,Missouri,SEC,11,False,2,25,75,"{'minutes': 0, 'seconds': 20}",2,24,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 20}",1,-1,END OF HALF,True,10,10,10,10,2022,end_of_half,False,False,False,False
40140391012,401403910,Florida,SEC,Missouri,SEC,12,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,70,30,"{'minutes': 12, 'seconds': 5}","{'minutes': 2, 'seconds': 55}",6,45,MISSED FG,True,10,10,10,10,2022,field_goal,True,False,False,True
40140391014,401403910,Florida,SEC,Missouri,SEC,14,True,3,18,82,"{'minutes': 9, 'seconds': 30}",3,100,0,"{'minutes': 6, 'seconds': 55}","{'minutes': 2, 'seconds': 35}",6,82,TD,True,10,10,17,10,2022,touchdown,True,False,False,True
40140391016,401403910,Florida,SEC,Missouri,SEC,16,True,3,9,91,"{'minutes': 1, 'seconds': 2}",4,100,0,"{'minutes': 11, 'seconds': 10}","{'minutes': 4, 'seconds': 52}",9,91,TD,True,17,10,24,10,2022,touchdown,True,False,False,True
40140391018,401403910,Florida,SEC,Missouri,SEC,18,False,4,25,75,"{'minutes': 5, 'seconds': 58}",4,53,47,"{'minutes': 2, 'seconds': 57}","{'minutes': 3, 'seconds': 1}",5,28,INT,True,24,17,24,17,2022,other,False,False,False,False
