season,team,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2023,LSU,334.0,274.0,6.0,13.0,15.0,30.0,3.0,4.0,4.0,3.0,13.0,1.0,0.0,107.0,38.0,5.0,10.0,0.0,0.0,399.0,723.0,22.0,37.0,4407.0,3327.0,411.0,420.0,286.0,268.0,10.0,5.0,44.0,23.0,79.0,92.0,672.0,744.0,22504.0,24296.0,0.0,0.0,74.0,-1.0,7.0,2.0,430.0,462.0,34.0,24.0,2658.0,2089.0,31.0,22.0,73.0,37.0,71.0,78.0,130.0,174.0,7065.0,5416.0,8.0,14.0
2023,Mississippi State,199.0,218.0,10.0,16.0,24.0,28.0,4.0,5.0,5.0,3.0,12.0,0.0,2.0,61.0,75.0,10.0,7.0,1.0,1.0,550.0,418.0,23.0,21.0,2182.0,2456.0,348.0,340.0,201.0,231.0,7.0,10.0,15.0,21.0,75.0,67.0,682.0,546.0,20641.0,22559.0,1.0,0.0,200.0,63.0,17.0,9.0,401.0,449.0,12.0,14.0,1761.0,1751.0,27.0,27.0,67.0,69.0,49.0,57.0,159.0,168.0,3943.0,4207.0,14.0,12.0
2023,Missouri,280.0,233.0,11.0,12.0,15.0,18.0,2.0,10.0,11.0,3.0,13.0,1.0,1.0,47.0,120.0,7.0,9.0,0.0,0.0,409.0,476.0,22.0,28.0,3395.0,2767.0,376.0,406.0,247.0,250.0,9.0,7.0,23.0,22.0,93.0,97.0,705.0,781.0,23742.0,23058.0,0.0,0.0,71.0,58.0,9.0,10.0,497.0,421.0,25.0,8.0,2233.0,1600.0,40.0,25.0,89.0,75.0,72.0,66.0,169.0,182.0,5628.0,4367.0,9.0,19.0
2023,Ole Miss,305.0,263.0,25.0,12.0,36.0,29.0,1.0,5.0,5.0,1.0,13.0,0.0,0.0,145.0,102.0,6.0,13.0,0.0,0.0,309.0,171.0,21.0,13.0,3713.0,2983.0,395.0,414.0,256.0,252.0,13.0,6.0,26.0,17.0,93.0,73.0,768.0,621.0,21639.0,25161.0,1.0,0.0,117.0,153.0,14.0,17.0,535.0,496.0,29.0,19.0,2294.0,1990.0,35.0,26.0,82.0,92.0,65.0,73.0,176.0,189.0,6007.0,4973.0,7.0,18.0
2023,South Carolina,217.0,255.0,9.0,14.0,24.0,23.0,5.0,7.0,7.0,5.0,12.0,1.0,1.0,129.0,27.0,8.0,10.0,0.0,0.0,352.0,233.0,20.0,12.0,3336.0,2948.0,412.0,399.0,283.0,244.0,10.0,8.0,21.0,16.0,85.0,67.0,661.0,530.0,20375.0,22825.0,1.0,0.0,112.0,41.0,15.0,12.0,369.0,463.0,17.0,19.0,1021.0,1799.0,22.0,42.0,55.0,93.0,54.0,78.0,161.0,181.0,4357.0,4747.0,13.0,17.0
2023,Tennessee,284.0,243.0,7.0,7.0,18.0,26.0,7.0,6.0,6.0,7.0,13.0,4.0,1.0,239.0,109.0,5.0,12.0,0.0,0.0,293.0,277.0,15.0,13.0,3163.0,2879.0,411.0,414.0,263.0,270.0,12.0,5.0,22.0,15.0,101.0,71.0,883.0,518.0,19457.0,27328.0,1.0,0.0,251.0,4.0,23.0,8.0,489.0,463.0,23.0,13.0,2662.0,1478.0,41.0,24.0,101.0,54.0,74.0,72.0,176.0,197.0,5825.0,4357.0,12.0,18.0
2023,Texas A&M,288.0,214.0,12.0,7.0,20.0,17.0,5.0,4.0,4.0,5.0,13.0,1.0,2.0,37.0,143.0,10.0,9.0,0.0,2.0,399.0,851.0,23.0,38.0,3520.0,2696.0,426.0,365.0,274.0,217.0,9.0,10.0,24.0,19.0,77.0,108.0,591.0,956.0,24498.0,22302.0,1.0,1.0,324.0,68.0,29.0,11.0,456.0,421.0,23.0,9.0,1770.0,1414.0,42.0,29.0,99.0,65.0,76.0,55.0,175.0,171.0,5290.0,4110.0,15.0,13.0
2023,Vanderbilt,204.0,268.0,8.0,10.0,27.0,14.0,7.0,4.0,4.0,7.0,12.0,2.0,2.0,132.0,270.0,13.0,12.0,1.0,0.0,545.0,544.0,27.0,25.0,2680.0,3355.0,390.0,421.0,217.0,290.0,12.0,12.0,23.0,26.0,59.0,87.0,510.0,742.0,20723.0,22477.0,0.0,1.0,163.0,174.0,16.0,18.0,350.0,413.0,10.0,23.0,1143.0,2104.0,21.0,27.0,65.0,69.0,52.0,77.0,160.0,165.0,3823.0,5459.0,20.0,16.0
2024,Alabama,271.0,245.0,8.0,15.0,16.0,23.0,10.0,11.0,11.0,10.0,13.0,0.0,2.0,242.0,200.0,11.0,17.0,0.0,0.0,282.0,478.0,14.0,26.0,3073.0,2369.0,354.0,395.0,226.0,236.0,17.0,11.0,17.0,13.0,95.0,75.0,897.0,622.0,22878.0,23922.0,0.0,0.0,224.0,8.0,25.0,8.0,487.0,484.0,41.0,10.0,2262.0,1801.0,25.0,24.0,71.0,77.0,78.0,62.0,164.0,192.0,5335.0,4170.0,21.0,28.0
2024,Arkansas,314.0,260.0,14.0,16.0,23.0,31.0,14.0,5.0,5.0,13.0,13.0,0.0,1.0,135.0,195.0,9.0,10.0,0.0,0.0,235.0,445.0,16.0,20.0,3570.0,3210.0,414.0,418.0,255.0,259.0,10.0,9.0,16.0,22.0,93.0,84.0,778.0,696.0,23720.0,23080.0,0.0,0.0,68.0,52.0,11.0,9.0,492.0,458.0,34.0,15.0,2401.0,1702.0,26.0,36.0,61.0,83.0,72.0,66.0,166.0,182.0,5971.0,4912.0,23.0,15.0
2024,Auburn,251.0,213.0,9.0,10.0,19.0,20.0,9.0,5.0,5.0,9.0,12.0,0.0,1.0,58.0,114.0,13.0,8.0,0.0,0.0,509.0,328.0,23.0,16.0,3167.0,2556.0,369.0,354.0,230.0,199.0,8.0,13.0,27.0,12.0,69.0,78.0,592.0,642.0,19606.0,22994.0,1.0,1.0,170.0,30.0,21.0,8.0,401.0,453.0,13.0,18.0,1988.0,1423.0,28.0,25.0,68.0,62.0,61.0,73.0,147.0,185.0,5155.0,3979.0,22.0,13.0
2024,Florida,250.0,281.0,8.0,15.0,15.0,29.0,4.0,11.0,11.0,5.0,13.0,1.0,1.0,167.0,237.0,14.0,14.0,0.0,1.0,305.0,338.0,15.0,15.0,2934.0,2957.0,339.0,421.0,208.0,244.0,14.0,14.0,18.0,18.0,77.0,63.0,702.0,573.0,22315.0,24485.0,0.0,0.0,187.0,119.0,15.0,17.0,460.0,510.0,26.0,17.0,2128.0,1949.0,40.0,20.0,86.0,65.0,62.0,73.0,161.0,184.0,5062.0,4906.0,18.0,25.0
